"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","Canonical Link Element 2","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.precise3dm.com/structured-light-3dscanning-services.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/structured-light-3dscanning-services.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/handheld-color-3dscanning-service.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/handheld-color-3dscanning-service.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/3d-scanning-software.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanning-software.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/3d-scanners-based-on-component-size.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanners-based-on-component-size.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/hybird-technology-3d-scanners.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/hybird-technology-3d-scanners.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/freescan-omni.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/freescan-omni.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/dynamic-tracking-3d-scanning-services.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/dynamic-tracking-3d-scanning-services.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/automatic-desktop-3d-scanner.php","1","Non-Indexable","Canonicalised","https://www.precise3dm.com/","","","index, follow","","","","",""
"https://www.precise3dm.com/3d-scanners-by-application.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanners-by-application.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/3d-laser-scanners.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-laser-scanners.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/funmat-pro.php","1","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanners-by-technology.php","","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/leica-blk360.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/leica-blk360.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/three-types-of-reverse-engineering-techniques.php","1","Non-Indexable","Canonicalised","https://www.precise3dm.com/three-types-of-reverse-engineering-techniques-new.php","","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/geomagic-software-in-india-2026.php","1","Non-Indexable","Canonicalised","https://www.precise3dm.com/why-precise3dm-is-the-best-geomagic-software-reseller-in-india-2026.php","","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/einscan-hx.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/einscan-hx.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/portable-cmm-inspection-service-in-india.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/portable-cmm-inspection-service-in-india.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/optimscan-q12.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/optimscan-q12.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/freescan-trak-pro-w.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/freescan-trak-pro-w.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/einstar-2.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/einstar-2.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/desktop-3d-scanner-in-india.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/desktop-3d-scanner-in-india.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/3d-sculpting-software.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-sculpting-software.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/einstar-vega.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/einstar-vega.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/freescan-ue-nova.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/freescan-ue-nova.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/lidar-scanners.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/lidar-scanners.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/laser-tracker-3d-scanner.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/laser-tracker-3d-scanner.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/3d-scanners-by-technology.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanners-by-technology.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/long-range-3dscanning-service.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/long-range-3dscanning-service.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/handheld-industrial-3d-scanning-service-india.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/handheld-industrial-3d-scanning-service-india.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/Einstar.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/Einstar.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/buy-3d-scanners-by-price-in-india.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/buy-3d-scanners-by-price-in-india.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/Einscanh2.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/Einscanh2.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/3d-scanning-services-in-india.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanning-services-in-india.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/3d-scanners-in-india.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanners-in-india.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/3d-services.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-services.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/why-einstar-vega-is-one-of-the-best-3d-scanners-for-education-institutions-and-students.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanners-for-aerospace.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/how-precise3dm-helps-customers-choose-the-right-3d-scanner-for-capex-investment.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/how-precise3dm-helps-customers-choose-the-right-3d-scanner-for-capex-investment.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/why-einscan-rigil-is-perfect-3d-scanner-for-3d-scanning-service-providers.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanners-for-aerospace.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/real-world-applications-of-einstar-vega-for-students.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanners-for-aerospace.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/geomagic-designx-compare.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/geomagic-designx-compare.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/geomagic-designx-reverse-engineering-workflow.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/geomagic-designx-reverse-engineering-workflow.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/3d-reverse-engineering-vs-3d-inspection-key-differences.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-reverse-engineering-vs-3d-inspection-key-differences.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/difference-between-reverse-engineering-and-3d-reverse-engineering.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanners-for-aerospace.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
